episode_id,episode_number,episode_title,channel,source_file,word_count
123,7,FISHING FOR SHARKS？! ｜ ALMOST TOOK ME OUT w. BLACK TIPH [7_APp4x8XKw],@ChrisBumstead,FISHING FOR SHARKS？! ｜ ALMOST TOOK ME OUT w. BLACK TIPH [7_APp4x8XKw].txt,3649
124,20,FST-7 ARM DAY W. HANY RAMBOD & HADI CHOOPAN [57QJpobyvlc],@ChrisBumstead,FST-7 ARM DAY W. HANY RAMBOD & HADI CHOOPAN [57QJpobyvlc].txt,2054
125,20,FULL BACK WORKOUT ｜ END OF THE BULK [QQJtaldifZ0],@ChrisBumstead,FULL BACK WORKOUT ｜ END OF THE BULK [QQJtaldifZ0].txt,4458
126,8,FULL BACK WORKOUT ｜ HOW TO BE A THAVAGE [EMKrh3naOBg],@ChrisBumstead,FULL BACK WORKOUT ｜ HOW TO BE A THAVAGE [EMKrh3naOBg].txt,2097
127,10,FULL CHEST DAY AT BUM LIFTING CLUB [iwe3DVRm1_8],@ChrisBumstead,FULL CHEST DAY AT BUM LIFTING CLUB [iwe3DVRm1_8].txt,1697
128,269,FULL CHEST WORKOUT W. COACH HANY RAMBOD [Wku6Dv5FFLA],@ChrisBumstead,FULL CHEST WORKOUT W. COACH HANY RAMBOD [Wku6Dv5FFLA].txt,3335
129,250,FULL DAY OF EATING 1 WEEK OUT MR. OLYMPIA [329QPlGL4zM],@ChrisBumstead,FULL DAY OF EATING 1 WEEK OUT MR. OLYMPIA [329QPlGL4zM].txt,2898
130,14,FULL DAY OF EATING IN THE OFF-SEASON [bJs21dRmkLo],@ChrisBumstead,FULL DAY OF EATING IN THE OFF-SEASON [bJs21dRmkLo].txt,2327
131,2,FULL DAY OF EATING TO GET SHREDDED ｜ OLYMPIA PREP [ebt17R5b7WQ],@ChrisBumstead,FULL DAY OF EATING TO GET SHREDDED ｜ OLYMPIA PREP [ebt17R5b7WQ].txt,3838
132,20,FULL DAY OF EATING ｜ 5 WEEKS OUT THE OLYMPIA [5xVlV3-cAJo],@ChrisBumstead,FULL DAY OF EATING ｜ 5 WEEKS OUT THE OLYMPIA [5xVlV3-cAJo].txt,3111
133,150,FULL DAY OF EATING ｜ 6 WEEKS OUT MR. OLYMPIA [qwynB6ys5mU],@ChrisBumstead,FULL DAY OF EATING ｜ 6 WEEKS OUT MR. OLYMPIA [qwynB6ys5mU].txt,3500
134,2016,FULL DAY OF EATING ｜ CARB LOAD BEFORE SHOW DAY [v1BKT_eIYDQ],@ChrisBumstead,FULL DAY OF EATING ｜ CARB LOAD BEFORE SHOW DAY [v1BKT_eIYDQ].txt,5531
135,2023,FULL DAY OF EATING ｜ MR. OLYMPIA OFF-SEASON [Bior7yCmzIE],@ChrisBumstead,FULL DAY OF EATING ｜ MR. OLYMPIA OFF-SEASON [Bior7yCmzIE].txt,2602
136,2023,FULL DAY OF EATING ｜ START OF THE BULK [2Ddcj8YDWZc],@ChrisBumstead,FULL DAY OF EATING ｜ START OF THE BULK [2Ddcj8YDWZc].txt,5328
137,1,FULL LEG WORKOUT ｜ BEGINNING OF BUM ENERGY [H3QfYAGnl5E],@ChrisBumstead,FULL LEG WORKOUT ｜ BEGINNING OF BUM ENERGY [H3QfYAGnl5E].txt,1487
138,50,Full Day of Eating ｜ Off-Season Bulk [sr88Fv6D87U],@ChrisBumstead,Full Day of Eating ｜ Off-Season Bulk [sr88Fv6D87U].txt,3000
139,9,Full arm workout with my baby mama. [TTpdjyryzZc],@ChrisBumstead,Full arm workout with my baby mama. [TTpdjyryzZc].txt,2126
140,140,GROCERY HAUL & A BIG OL’ CHEST WORKOUT [CXBfNVdh_tU],@ChrisBumstead,GROCERY HAUL & A BIG OL’ CHEST WORKOUT [CXBfNVdh_tU].txt,3845
141,68,GROCERY HAUL OFF-SEASON WITH CBUM [LtSMBD9bVBM],@ChrisBumstead,GROCERY HAUL OFF-SEASON WITH CBUM [LtSMBD9bVBM].txt,4755
142,1,HAMSTRING WORKOUT ｜ BACK TO CANADA [C7c3Io9f0kc],@ChrisBumstead,HAMSTRING WORKOUT ｜ BACK TO CANADA [C7c3Io9f0kc].txt,1633
143,4,HEAVY BACK WORKOUT W. DEREK LUNSFORD [4vA4nt5Fz5s],@ChrisBumstead,HEAVY BACK WORKOUT W. DEREK LUNSFORD [4vA4nt5Fz5s].txt,4457
144,250,HIGH CARB DAY + BACK WORKOUT [95VSKCYOx6Q],@ChrisBumstead,HIGH CARB DAY + BACK WORKOUT [95VSKCYOx6Q].txt,3671
