/Users/bryanantonelli/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(

🔍 INGEST STARTUP
• CHANNELS_DIR: /Users/bryanantonelli/forged-by-freedom/ingest/channels
• Pinecone index: forged-freedom-ai
• Embedding model: text-embedding-3-large
• Chunk tokens: 3000
• Episodes to ingest: 4184
🚀 BEGIN INGEST

✅ [91/4184] @bodybuildingcom | unknown | Romanian Deadlift - Leg Exercise - Bodyb... | 1 chunks
✅ [92/4184] @bodybuildingcom | The Original Online Supplement Supplier Since 1999 | 25 Years of Bodybuilding.com ｜ The Origi... | 1 chunks
✅ [93/4184] @bodybuildingcom | 1-Min Promo | #FREAKMODE Alex Savva's 12-Week Fitness ... | 1 chunks
✅ [94/4184] @bodybuildingcom | unknown | Training with Scott Dorn - Bodybuilding.... | 1 chunks
✅ [95/4184] @bodybuildingcom | unknown | Reverse Crunch - Abs ⧸ Core Exercise - B... | 1 chunks
✅ [96/4184] @bodybuildingcom | Ep. 22 ｜ Craig Bongelli ｜ Bodybuilding.com | Becoming a Professional Strongman & Dril... | 4 chunks
✅ [97/4184] @bodybuildingcom | The Bodybuilding.com Podcast ｜ Ep. 21 ｜ Lance Parker | Building Your Aerobic Base ｜ The Bodybui... | 6 chunks
✅ [98/4184] @bodybuildingcom | unknown | Kizzito Ejam - 'Lift Life' Bodybuilding.... | 1 chunks
✅ [99/4184] @bodybuildingcom | unknown | WORKOUT PREVIEW： Total Upper Body #1 wit... | 1 chunks
✅ [100/4184] @bodybuildingcom | unknown | Highlight Reel Olympia 2011 - Bodybuildi... | 1 chunks
✅ [101/4184] @bodybuildingcom | unknown | 5 Lessons After Running the Berlin Marat... | 1 chunks
✅ [102/4184] @bodybuildingcom | unknown | Dips - Triceps Version - Tricep Exercise... | 1 chunks
