/Users/bryanantonelli/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(

🔍 INGEST STARTUP
• CHANNELS_DIR: /Users/bryanantonelli/forged-by-freedom/ingest/channels
• Pinecone index: forged-freedom-ai
• Embedding model: text-embedding-3-large
• Chunk tokens: 3000
• Episodes to ingest: 4184
🚀 BEGIN INGEST

✅ [78/4184] @bodybuildingcom | Power Clean - Back & Legs Exercise - Bodybuilding.... | 1 chunks
✅ [79/4184] @bodybuildingcom | Butt Lift Bridge - Legs ⧸ Glutes Exercise - Bodybu... | 1 chunks
✅ [80/4184] @bodybuildingcom | Jim Stoppani's 6-Week Shortcut To Shred Training P... | 1 chunks
✅ [81/4184] @bodybuildingcom | Ashley Conrad's 21-Day Clutch Cut Training Program... | 1 chunks
✅ [82/4184] @bodybuildingcom | Laura McGraw Fitness 360： Survivor Strong - Bodybu... | 1 chunks
✅ [83/4184] @bodybuildingcom | Jamie Eason's Fish in Foil Recipe -- Bodybuilding.... | 1 chunks
✅ [84/4184] @bodybuildingcom | Bench Press - Chest Exercise - Bodybuilding.com... | 1 chunks
✅ [85/4184] @bodybuildingcom | Seated Cable Rows - Back Exercise - Bodybuilding.c... | 1 chunks
✅ [86/4184] @bodybuildingcom | Seated Bent Over Rear Delt Raise - Shoulder Exerci... | 1 chunks
✅ [87/4184] @bodybuildingcom | Taco Potato Bowls IG：@jalalsamfit#mealprep #highpr... | 1 chunks
✅ [88/4184] @bodybuildingcom | Steve Cook Leg Workout for Strength ｜ Big Man on C... | 1 chunks
✅ [89/4184] @bodybuildingcom | 2011 Employee Transformation Challenge... | 1 chunks
✅ [90/4184] @bodybuildingcom | Ashley Conrad's Upper-Body Circuit Workout - Bodyb... | 1 chunks
✅ [91/4184] @bodybuildingcom | Romanian Deadlift - Leg Exercise - Bodybuilding.co... | 1 chunks
✅ [92/4184] @bodybuildingcom | 25 Years of Bodybuilding.com ｜ The Original Online... | 1 chunks
✅ [93/4184] @bodybuildingcom | #FREAKMODE Alex Savva's 12-Week Fitness Plan ｜ 1-M... | 1 chunks
✅ [94/4184] @bodybuildingcom | Training with Scott Dorn - Bodybuilding.com... | 1 chunks
✅ [95/4184] @bodybuildingcom | Reverse Crunch - Abs ⧸ Core Exercise - Bodybuildin... | 1 chunks
✅ [96/4184] @bodybuildingcom | Becoming a Professional Strongman & Drilling Disci... | 4 chunks
✅ [97/4184] @bodybuildingcom | Building Your Aerobic Base ｜ The Bodybuilding.com ... | 6 chunks
✅ [98/4184] @bodybuildingcom | Kizzito Ejam - 'Lift Life' Bodybuilding.com Ad Cam... | 1 chunks
✅ [99/4184] @bodybuildingcom | WORKOUT PREVIEW： Total Upper Body #1 with Coach Ga... | 1 chunks
✅ [100/4184] @bodybuildingcom | Highlight Reel Olympia 2011 - Bodybuilding.com... | 1 chunks
✅ [101/4184] @bodybuildingcom | 5 Lessons After Running the Berlin Marathon ｜ 26.2... | 1 chunks
✅ [102/4184] @bodybuildingcom | Dips - Triceps Version - Tricep Exercise - Bodybui... | 1 chunks
✅ [103/4184] @bodybuildingcom | Close Grip Bench Press - Tricep ⧸ Chest Exercise -... | 1 chunks
✅ [104/4184] @bodybuildingcom | Fitness 360： Daniel Banks, Swole Patrol - Bodybuil... | 1 chunks
✅ [105/4184] @bodybuildingcom | Fitness, Bikini And Ms  Olympia Finals Post Show R... | 2 chunks
✅ [106/4184] @bodybuildingcom | Barbell Side Bend - Core ⧸ Abs - Bodybuilding.com... | 1 chunks
✅ [107/4184] @bodybuildingcom | David Otunga's Training & Fitness Program - Bodybu... | 2 chunks
✅ [108/4184] @bodybuildingcom | Jamie Eason - Big 'Ol Butt Video - Bodybuilding.co... | 1 chunks
✅ [109/4184] @bodybuildingcom | One-Legged Cable Kickback - Leg Exercise - Bodybui... | 1 chunks
✅ [110/4184] @bodybuildingcom | Meet Your Trainers - Bodybuilding.com... | 1 chunks
✅ [111/4184] @bodybuildingcom | Barbell Hip Thrust - Legs ⧸ Glutes Exercise - Body... | 1 chunks
